OrderDate,ProductKey,Country,EnglishProductName,SalesAmount,TaxAmt
02-01-2021,222,France,"Sport-100 Helmet, Blue",34.99,2.7992
03-01-2021,480,Australia,Patch Kit/8 Patches,2.29,0.1832
03-01-2021,217,India,"Sport-100 Helmet, Black",34.99,2.7992
03-01-2021,569,Germany,"Touring-3000 Yellow, 50",742.35,59.388
03-01-2021,375,France,"Road-250 Black, 48",2181.5625,174.525
05-01-2021,566,Australia,"Touring-3000 Blue, 58",742.35,59.388
06-01-2021,538,France,LL Road Tire,21.49,1.7192
06-01-2021,480,Germany,Patch Kit/8 Patches,2.29,0.1832
07-01-2021,485,Australia,Fender Set - Mountain,21.98,1.7584
08-01-2021,528,Australia,Mountain Tire Tube,4.99,0.3992
09-01-2021,489,France,"Short-Sleeve Classic Jersey, M",53.99,4.3192
12-01-2021,481,Italy,"Racing Socks, M",8.99,0.7192
13-01-2021,485,Germany,Fender Set - Mountain,21.98,1.7584
13-01-2021,474,Italy,"Women's Mountain Shorts, S",69.99,5.5992
15-01-2021,478,France,Mountain Bottle Cage,9.99,0.7992
18-01-2021,214,United States,"Sport-100 Helmet, Red",34.99,2.7992
18-01-2021,537,Italy,HL Mountain Tire,35,2.8
19-01-2021,529,India,Road Tire Tube,3.99,0.3192
19-01-2021,465,India,"Half-Finger Gloves, M",24.49,1.9592
20-01-2021,582,Australia,"Road-350-W Yellow, 44",1700.99,136.0792
20-01-2021,528,India,Mountain Tire Tube,4.99,0.3992
21-01-2021,353,Germany,"Mountain-200 Silver, 38",2319.99,185.5992
21-01-2021,536,India,ML Mountain Tire,29.99,2.3992
23-01-2021,480,United States,Patch Kit/8 Patches,2.29,0.1832
24-01-2021,310,India,"Road-150 Red, 62",3578.27,286.2616
30-01-2021,538,Australia,LL Road Tire,21.49,1.7192
01-02-2021,360,Australia,"Mountain-200 Black, 42",2049.0982,163.9279
01-02-2021,478,Australia,Mountain Bottle Cage,9.99,0.7992
02-02-2021,480,Germany,Patch Kit/8 Patches,2.29,0.1832
02-02-2021,234,Australia,"Long-Sleeve Logo Jersey, L",49.99,3.9992
04-02-2021,473,Italy,"Classic Vest, L",63.5,5.08
05-02-2021,222,France,"Sport-100 Helmet, Blue",34.99,2.7992
06-02-2021,477,Germany,Water Bottle - 30 oz.,4.99,0.3992
06-02-2021,562,Canada,"Touring-1000 Yellow, 50",2384.07,190.7256
07-02-2021,485,United States,Fender Set - Mountain,21.98,1.7584
07-02-2021,214,Canada,"Sport-100 Helmet, Red",34.99,2.7992
